SpectraSuite Data File
++++++++++++++++++++++++++++++++++++
Date: Wed Jan 05 13:57:34 EET 2022
User: optika
Dark Spectrum Present: Yes
Reference Spectrum Present: No
Number of Sampled Component Spectra: 1
Spectrometers: USB4H03366
Integration Time (usec): 2000 (USB4H03366)
Spectra Averaged: 1 (USB4H03366)
Boxcar Smoothing: 0 (USB4H03366)
Correct for Electrical Dark: No (USB4H03366)
Strobe/Lamp Enabled: No (USB4H03366)
Correct for Detector Non-linearity: No (USB4H03366)
Correct for Stray Light: No (USB4H03366)
Number of Pixels in Processed Spectrum: 3648
>>>>>Begin Processed Spectral Data<<<<<
421.52	69.63
421.96	94.21
422.40	102.40
422.83	63.49
423.27	120.83
423.71	63.49
424.14	100.35
424.58	57.34
425.02	90.11
425.45	65.54
425.89	53.25
426.33	81.92
426.76	116.73
427.20	186.37
427.64	188.41
428.07	14.34
428.51	186.37
428.95	98.30
429.38	167.93
429.82	53.25
430.26	57.34
430.69	161.79
431.13	102.40
431.57	135.17
432.00	172.03
432.44	116.73
432.87	137.21
433.31	100.35
433.75	229.37
434.18	120.83
434.62	112.64
435.05	112.64
435.49	169.98
435.93	239.61
436.36	106.49
436.80	210.94
437.23	165.89
437.67	229.37
438.11	223.23
438.54	186.37
438.98	153.60
439.41	186.37
439.85	202.75
440.29	178.17
440.72	286.72
441.16	249.85
441.59	272.38
442.03	221.18
442.46	294.91
442.90	372.73
443.34	309.24
443.77	280.57
444.21	251.90
444.64	233.47
445.08	356.35
445.51	282.62
445.95	389.11
446.38	385.02
446.82	296.96
447.25	423.93
447.69	299.00
448.13	344.06
448.56	356.35
449.00	413.69
449.43	518.14
449.87	350.20
450.30	587.77
450.74	477.18
451.17	524.28
451.61	430.07
452.04	550.90
452.48	505.85
452.91	550.90
453.35	581.62
453.78	579.58
454.22	567.29
454.65	595.96
455.09	591.86
455.52	753.65
455.96	757.75
456.39	583.67
456.83	761.84
457.26	692.21
457.69	782.32
458.13	780.28
458.56	849.91
459.00	1038.32
459.43	794.61
459.87	1032.18
460.30	1044.46
460.74	1118.19
461.17	1062.90
461.61	1232.88
462.04	1116.14
462.47	1302.51
462.91	1214.45
463.34	1398.76
463.78	1359.85
464.21	1499.11
464.65	1437.67
465.08	1578.98
465.51	1740.77
465.95	1701.86
466.38	1722.34
466.82	1851.36
467.25	1923.04
467.69	2002.91
468.12	2191.33
468.55	2088.93
468.99	2209.76
469.42	2303.96
469.86	2392.03
470.29	2432.99
470.72	2648.02
471.16	2410.46
471.59	2426.84
472.03	2842.58
472.46	2682.84
472.89	2832.34
473.33	2969.55
473.76	3266.51
474.19	3352.52
474.63	3200.98
475.06	3282.89
475.49	3598.28
475.93	3504.07
476.36	3901.38
476.80	3889.09
477.23	4237.25
477.66	3936.20
478.10	4143.04
478.53	4196.29
478.96	4650.94
479.40	4681.66
479.83	4749.24
480.26	4566.97
480.70	4919.22
481.13	4999.09
481.56	5312.43
482.00	5337.01
482.43	5412.78
482.86	5525.42
483.30	5539.76
483.73	5748.65
484.16	5978.02
484.59	6027.17
485.03	6148.00
485.46	6401.95
485.89	6221.73
486.33	6352.80
486.76	6608.80
487.19	6369.18
487.63	6625.18
488.06	6887.32
488.49	7143.32
488.92	7171.99
489.36	7274.38
489.79	7176.08
490.22	7448.46
490.65	7354.26
491.09	7813.00
491.52	7518.09
