0.0007749	1	0.0000914
0.0007999	1	0.0000297
0.0008266	1	0.000034
0.0008856	1	0.000045
0.001033	1	0.000081
0.00124	0.999	0.000161
0.00155	0.999	0.000349
0.002066	0.999	0.000977
0.002254	0.999	0.000809
0.00248	0.998	0.000402
0.0031	0.997	0.000729
0.003542	0.995	0.00124
0.004133	0.994	0.00181
0.004959	0.991	0.00326
0.006199	0.987	0.00533
0.006888	0.985	0.00709
0.007749	0.982	0.00977
0.008266	0.98	0.0113
0.008856	0.978	0.0133
0.008984	0.978	0.0135
0.009116	0.977	0.0139
0.009253	0.976	0.0143
0.009537	0.975	0.0156
0.00984	0.974	0.0171
0.009999	0.974	0.0181
0.01016	0.973	0.0183
0.01033	0.973	0.0185
0.01078	0.97	0.0204
0.01127	0.968	0.0233
0.01181	0.966	0.0275
0.0124	0.966	0.0332
0.01265	0.969	0.0346
0.01292	0.971	0.0341
0.01319	0.972	0.0314
0.01348	0.97	0.0291
0.01362	0.968	0.0284
0.01378	0.966	0.0286
0.01393	0.964	0.0295
0.01409	0.963	0.0307
0.01425	0.962	0.032
0.01442	0.962	0.033
0.01459	0.961	0.0337
0.01476	0.96	0.0343
0.01494	0.959	0.035
0.01512	0.957	0.0365
0.01531	0.956	0.0404
0.0154	0.958	0.0431
0.0155	0.961	0.0445
0.0156	0.965	0.043
0.01569	0.966	0.0398
0.01579	0.965	0.0372
0.0159	0.963	0.0363
0.016	0.963	0.0392
0.0161	0.967	0.0372
0.01621	0.966	0.0305
0.01631	0.961	0.0298
0.01642	0.958	0.0302
0.01653	0.957	0.0306
0.01664	0.955	0.0311
0.01675	0.953	0.0317
0.01698	0.951	0.0329
0.01722	0.948	0.0341
0.01771	0.944	0.0365
0.01907	0.933	0.0438
0.02066	0.92	0.0541
0.02254	0.907	0.0686
0.0248	0.892	0.0864
0.02755	0.872	0.111
0.031	0.848	0.148
0.03542	0.823	0.203
0.04133	0.794	0.282
0.04428	0.774	0.327
0.04769	0.748	0.393
0.05166	0.722	0.502
0.05636	0.765	0.651
0.05904	0.812	0.723
0.06048	0.841	0.747
0.06199	0.862	0.769
0.06358	0.88	0.794
0.06525	0.896	0.825
0.06888	0.947	0.912
0.07293	1.035	0.997
0.07749	1.148	1.07
0.08266	1.293	1.14
0.08551	1.379	1.16
0.08856	1.471	1.16
0.09184	1.555	1.17
0.09537	1.649	1.17
0.09919	1.753	1.17
0.1033	1.868	1.17
0.1078	2.017	1.16
0.1127	2.218	1.11
0.1181	2.484	0.951
0.124	2.582	0.597
0.1305	2.524	0.253
0.1378	2.297	0.0895
0.1459	2.153	0.0478
0.155	2.058	0.028
0.1771	1.924	0.00824
0.2066	1.774	0.0022
