0.28035	1.8243
0.289036	1.8195
0.29673	1.8159
0.30215	1.8135
0.313	1.8091
0.33415	1.8018
0.34662	1.7981
0.36105	1.7945
0.36501	1.7936
0.39064	1.7883
0.40466	1.7858
0.43583	1.7812
0.54607	1.7708
0.57696	1.7688
0.57907	1.7687
0.64385	1.7655
0.70652	1.763
0.85212	1.7588
0.8944	1.7579
1.01398	1.7555
1.12866	1.7534
1.36728	1.7494
1.39506	1.7489
1.52952	1.7466
1.6932	1.7437
1.70913	1.7434
1.81307	1.7414
1.9701	1.7383
2.1526	1.7344
2.24929	1.7323
2.32542	1.7306
2.4374	1.7278
3.2432	1.7044
3.2666	1.7036
3.303	1.7023
3.293	1.7015
3.4188	1.6982
3.5078	1.695
3.7	1.6875
4.258	1.6637
4.954	1.6266
5.1456	1.6151
5.349	1.602
5.419	1.5973
5.577	1.5864
